,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
2674,2988097,70B3D5007000172B,1608750258722,FES Receiver,2020-12-23 20:04:18.917699,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3620 mV,10 C,1 Degree,180 Times,
2673,2988371,70B3D5007000172B,1608753858601,FES Receiver,2020-12-23 21:04:18.808069,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3610 mV,8 C,1 Degree,181 Times,
2672,2988638,70B3D5007000172B,1608757458485,FES Receiver,2020-12-23 22:04:18.650779,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3610 mV,8 C,1 Degree,182 Times,
2671,2988923,70B3D5007000172B,1608761058380,FES Receiver,2020-12-23 23:04:18.563547,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3610 mV,8 C,1 Degree,183 Times,
2670,2989210,70B3D5007000172B,1608764658259,FES Receiver,2020-12-24 00:04:18.396829,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3610 mV,8 C,0 Degree,184 Times,
2669,2989480,70B3D5007000172B,1608768258139,FES Receiver,2020-12-24 01:04:18.25974,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3610 mV,9 C,1 Degree,185 Times,
2668,2990062,70B3D5007000172B,1608775457957,FES Receiver,2020-12-24 03:04:18.051799,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3600 mV,7 C,1 Degree,187 Times,
2667,2990366,70B3D5007000172B,1608779057856,FES Receiver,2020-12-24 04:04:17.937855,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3600 mV,8 C,1 Degree,188 Times,
2666,2990945,70B3D5007000172B,1608786257655,FES Receiver,2020-12-24 06:04:17.708719,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3590 mV,6 C,2 Degree,190 Times,
2665,2991218,70B3D5007000172B,1608789857761,FES Receiver,2020-12-24 07:04:17.797721,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,52 cm,3590 mV,5 C,2 Degree,191 Times,
2664,2991496,70B3D5007000172B,1608793457460,FES Receiver,2020-12-24 08:04:17.503589,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3590 mV,5 C,1 Degree,192 Times,
2663,2991760,70B3D5007000172B,1608797057379,FES Receiver,2020-12-24 09:04:17.389678,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,98 cm,3590 mV,6 C,2 Degree,193 Times,
